title,genres,keywords,plot,content
Sholay [1],Sports|Romance,friendship justice ambition,"Set between Mumbai and Delhi, this Sports-Romance film explores friendship, justice, and the cost of ambition.",sport romanc friendship justic ambit set between mumbai and delhi thi sport romanc film explor friendship justic and the cost of ambit
Dilwale Dulhania Le Jayenge [2],Action|Romance,investigation revenge college,A Action story where investigation and revenge shape the journey of a determined protagonist in modern India.,action romanc investig reveng colleg a action stori where investig and reveng shape the journey of a determin protagonist in modern india
3 Idiots [3],Drama|Romance,dream ambition delhi,"A gripping Drama narrative driven by dream, ambition, and an unforgettable finale.",drama romanc dream ambit delhi a grip drama narr driven by dream ambit and an unforgett final
Lagaan [4],Drama|Adventure,dream investigation college,"Set between Mumbai and Delhi, this Drama-Adventure film explores dream, investigation, and the cost of college.",drama adventur dream investig colleg set between mumbai and delhi thi drama adventur film explor dream investig and the cost of colleg
Dangal [5],Musical|Biography,justice friendship city,"When a family faces crisis, a hero chooses justice over fear in this heartfelt Musical entertainer.",music biographi justic friendship citi when a famili face crisi a hero choos justic over fear in thi heartfelt music entertain
PK [6],Family|Comedy,village dream dance,A Family story where village and dream shape the journey of a determined protagonist in modern India.,famili comedi villag dream danc a famili stori where villag and dream shape the journey of a determin protagonist in modern india
Bajrangi Bhaijaan [7],Romance|Crime,family sacrifice heist,"A gripping Romance narrative driven by family, sacrifice, and an unforgettable finale.",romanc crime famili sacrific heist a grip romanc narr driven by famili sacrific and an unforgett final
Zindagi Na Milegi Dobara [8],Comedy|Drama,wedding investigation family,"When a family faces crisis, a hero chooses wedding over fear in this heartfelt Comedy entertainer.",comedi drama wed investig famili when a famili face crisi a hero choos wed over fear in thi heartfelt comedi entertain
Kabhi Khushi Kabhie Gham [9],Romance|Adventure,music sacrifice dream,A Romance story where music and sacrifice shape the journey of a determined protagonist in modern India.,romanc adventur music sacrific dream a romanc stori where music and sacrific shape the journey of a determin protagonist in modern india
Kal Ho Naa Ho [10],Drama|Sports,ambition music revenge,"Set between Mumbai and Delhi, this Drama-Sports film explores ambition, music, and the cost of revenge.",drama sport ambit music reveng set between mumbai and delhi thi drama sport film explor ambit music and the cost of reveng
Kuch Kuch Hota Hai [11],Romance|Crime,justice wedding sacrifice,"Set between Mumbai and Delhi, this Romance-Crime film explores justice, wedding, and the cost of sacrifice.",romanc crime justic wed sacrific set between mumbai and delhi thi romanc crime film explor justic wed and the cost of sacrific
Swades [12],Family|Mystery,dream justice revenge,"A gripping Family narrative driven by dream, justice, and an unforgettable finale.",famili mysteri dream justic reveng a grip famili narr driven by dream justic and an unforgett final
Taare Zameen Par [13],Sports|Action,investigation ambition city,"When a family faces crisis, a hero chooses investigation over fear in this heartfelt Sports entertainer.",sport action investig ambit citi when a famili face crisi a hero choos investig over fear in thi heartfelt sport entertain
Andhadhun [14],Crime|Comedy,investigation ambition dance,A Crime story where investigation and ambition shape the journey of a determined protagonist in modern India.,crime comedi investig ambit danc a crime stori where investig and ambit shape the journey of a determin protagonist in modern india
Barfi! [15],Thriller|Drama,dance patriotism justice,A Thriller story where dance and patriotism shape the journey of a determined protagonist in modern India.,thriller drama danc patriot justic a thriller stori where danc and patriot shape the journey of a determin protagonist in modern india
Queen [16],Thriller|Biography,dance dream mumbai,"When a family faces crisis, a hero chooses dance over fear in this heartfelt Thriller entertainer.",thriller biographi danc dream mumbai when a famili face crisi a hero choos danc over fear in thi heartfelt thriller entertain
Kahaani [17],Sports|Musical,village justice redemption,"Set between Mumbai and Delhi, this Sports-Musical film explores village, justice, and the cost of redemption.",sport music villag justic redempt set between mumbai and delhi thi sport music film explor villag justic and the cost of redempt
Gully Boy [18],Mystery|Adventure,investigation justice college,"A gripping Mystery narrative driven by investigation, justice, and an unforgettable finale.",mysteri adventur investig justic colleg a grip mysteri narr driven by investig justic and an unforgett final
Rockstar [19],Crime|Family,ambition village delhi,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Crime entertainer.",crime famili ambit villag delhi when a famili face crisi a hero choos ambit over fear in thi heartfelt crime entertain
Tamasha [20],Romance|Drama,family village city,"When a family faces crisis, a hero chooses family over fear in this heartfelt Romance entertainer.",romanc drama famili villag citi when a famili face crisi a hero choos famili over fear in thi heartfelt romanc entertain
Jab We Met [21],Biography|Romance,patriotism redemption wedding,"A gripping Biography narrative driven by patriotism, redemption, and an unforgettable finale.",biographi romanc patriot redempt wed a grip biographi narr driven by patriot redempt and an unforgett final
Chak De! India [22],Comedy|Adventure,friendship family investigation,"A popular Bollywood tale of friendship, family, and investigation, blending emotion, music, and dramatic twists.",comedi adventur friendship famili investig a popular bollywood tale of friendship famili and investig blend emot music and dramat twist
Bhaag Milkha Bhaag [23],Sports|Family,family music college,"Set between Mumbai and Delhi, this Sports-Family film explores family, music, and the cost of college.",sport famili famili music colleg set between mumbai and delhi thi sport famili film explor famili music and the cost of colleg
Rang De Basanti [24],Musical|Drama,justice delhi city,"A gripping Musical narrative driven by justice, delhi, and an unforgettable finale.",music drama justic delhi citi a grip music narr driven by justic delhi and an unforgett final
Munna Bhai M.B.B.S. [25],Romance|Sports,music delhi dream,"Set between Mumbai and Delhi, this Romance-Sports film explores music, delhi, and the cost of dream.",romanc sport music delhi dream set between mumbai and delhi thi romanc sport film explor music delhi and the cost of dream
Lage Raho Munna Bhai [26],Family|Action,investigation delhi friendship,"A gripping Family narrative driven by investigation, delhi, and an unforgettable finale.",famili action investig delhi friendship a grip famili narr driven by investig delhi and an unforgett final
Om Shanti Om [27],Family|Musical,friendship family sacrifice,"A popular Bollywood tale of friendship, family, and sacrifice, blending emotion, music, and dramatic twists.",famili music friendship famili sacrific a popular bollywood tale of friendship famili and sacrific blend emot music and dramat twist
Don [28],Thriller|Drama,ambition heist revenge,A Thriller story where ambition and heist shape the journey of a determined protagonist in modern India.,thriller drama ambit heist reveng a thriller stori where ambit and heist shape the journey of a determin protagonist in modern india
Don 2 [29],Mystery|Musical,revenge investigation village,"Set between Mumbai and Delhi, this Mystery-Musical film explores revenge, investigation, and the cost of village.",mysteri music reveng investig villag set between mumbai and delhi thi mysteri music film explor reveng investig and the cost of villag
War [30],Sports|Musical,investigation city justice,"A gripping Sports narrative driven by investigation, city, and an unforgettable finale.",sport music investig citi justic a grip sport narr driven by investig citi and an unforgett final
Pathaan [31],Biography|Crime,dream investigation redemption,"A popular Bollywood tale of dream, investigation, and redemption, blending emotion, music, and dramatic twists.",biographi crime dream investig redempt a popular bollywood tale of dream investig and redempt blend emot music and dramat twist
Jawan [32],Crime|Sports,sacrifice wedding delhi,"When a family faces crisis, a hero chooses sacrifice over fear in this heartfelt Crime entertainer.",crime sport sacrific wed delhi when a famili face crisi a hero choos sacrific over fear in thi heartfelt crime entertain
Tiger Zinda Hai [33],Romance|Thriller,ambition revenge dance,A Romance story where ambition and revenge shape the journey of a determined protagonist in modern India.,romanc thriller ambit reveng danc a romanc stori where ambit and reveng shape the journey of a determin protagonist in modern india
Ek Tha Tiger [34],Biography|Adventure,ambition heist redemption,A Biography story where ambition and heist shape the journey of a determined protagonist in modern India.,biographi adventur ambit heist redempt a biographi stori where ambit and heist shape the journey of a determin protagonist in modern india
Sultan [35],Romance|Sports,love ambition revenge,A Romance story where love and ambition shape the journey of a determined protagonist in modern India.,romanc sport love ambit reveng a romanc stori where love and ambit shape the journey of a determin protagonist in modern india
