title,genres,keywords,plot
Sholay [1],Sports|Romance,friendship justice ambition,"Set between Mumbai and Delhi, this Sports-Romance film explores friendship, justice, and the cost of ambition."
Dilwale Dulhania Le Jayenge [2],Action|Romance,investigation revenge college,A Action story where investigation and revenge shape the journey of a determined protagonist in modern India.
3 Idiots [3],Drama|Romance,dream ambition delhi,"A gripping Drama narrative driven by dream, ambition, and an unforgettable finale."
Lagaan [4],Drama|Adventure,dream investigation college,"Set between Mumbai and Delhi, this Drama-Adventure film explores dream, investigation, and the cost of college."
Dangal [5],Musical|Biography,justice friendship city,"When a family faces crisis, a hero chooses justice over fear in this heartfelt Musical entertainer."
PK [6],Family|Comedy,village dream dance,A Family story where village and dream shape the journey of a determined protagonist in modern India.
Bajrangi Bhaijaan [7],Romance|Crime,family sacrifice heist,"A gripping Romance narrative driven by family, sacrifice, and an unforgettable finale."
Zindagi Na Milegi Dobara [8],Comedy|Drama,wedding investigation family,"When a family faces crisis, a hero chooses wedding over fear in this heartfelt Comedy entertainer."
Kabhi Khushi Kabhie Gham [9],Romance|Adventure,music sacrifice dream,A Romance story where music and sacrifice shape the journey of a determined protagonist in modern India.
Kal Ho Naa Ho [10],Drama|Sports,ambition music revenge,"Set between Mumbai and Delhi, this Drama-Sports film explores ambition, music, and the cost of revenge."
Kuch Kuch Hota Hai [11],Romance|Crime,justice wedding sacrifice,"Set between Mumbai and Delhi, this Romance-Crime film explores justice, wedding, and the cost of sacrifice."
Swades [12],Family|Mystery,dream justice revenge,"A gripping Family narrative driven by dream, justice, and an unforgettable finale."
Taare Zameen Par [13],Sports|Action,investigation ambition city,"When a family faces crisis, a hero chooses investigation over fear in this heartfelt Sports entertainer."
Andhadhun [14],Crime|Comedy,investigation ambition dance,A Crime story where investigation and ambition shape the journey of a determined protagonist in modern India.
Barfi! [15],Thriller|Drama,dance patriotism justice,A Thriller story where dance and patriotism shape the journey of a determined protagonist in modern India.
Queen [16],Thriller|Biography,dance dream mumbai,"When a family faces crisis, a hero chooses dance over fear in this heartfelt Thriller entertainer."
Kahaani [17],Sports|Musical,village justice redemption,"Set between Mumbai and Delhi, this Sports-Musical film explores village, justice, and the cost of redemption."
Gully Boy [18],Mystery|Adventure,investigation justice college,"A gripping Mystery narrative driven by investigation, justice, and an unforgettable finale."
Rockstar [19],Crime|Family,ambition village delhi,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Crime entertainer."
Tamasha [20],Romance|Drama,family village city,"When a family faces crisis, a hero chooses family over fear in this heartfelt Romance entertainer."
Jab We Met [21],Biography|Romance,patriotism redemption wedding,"A gripping Biography narrative driven by patriotism, redemption, and an unforgettable finale."
Chak De! India [22],Comedy|Adventure,friendship family investigation,"A popular Bollywood tale of friendship, family, and investigation, blending emotion, music, and dramatic twists."
